time;x;y
63;120;-120
126;120;-120
189;120;-120
252;120;-120
315;120;-113
378;120;-109
441;120;-104
504;120;-99
567;120;-89
630;120;-85
693;120;-80
756;120;-75
819;120;-70
882;120;-61
945;120;-57
1008;120;-54
1071;120;-47
1134;120;-43
1197;120;-39
1260;120;-36
1323;120;-32
1386;120;-25
1449;120;-21
1512;120;-18
1575;120;-14
1638;120;-7
1701;120;-3
1764;120;0
1827;120;7
1890;120;11
1953;120;14
2016;120;18
2079;120;22
2142;120;29
2205;120;33
2268;120;36
2331;120;40
2394;120;47
2457;120;51
2520;120;54
2583;120;58
2646;120;65
2709;120;69
2772;120;73
2835;120;79
2898;120;82
2961;120;86
3024;120;89
3087;120;93
3150;120;102
3213;120;107
3276;120;112
3339;120;116
3402;120;121
