time;x;y
63;147;-111
126;147;-107
189;147;-100
252;147;-96
315;144;-93
378;140;-90
441;133;-89
504;129;-89
567;125;-89
630;122;-89
693;119;-89
756;113;-89
819;111;-89
882;108;-89
945;102;-89
1008;99;-89
1071;96;-89
1134;93;-89
1197;87;-89
1260;84;-89
1323;81;-88
1386;78;-85
1449;72;-78
1512;69;-75
1575;67;-72
1638;65;-68
1701;63;-64
1764;58;-55
1827;56;-50
1890;49;-44
1953;49;-44
2016;41;-44
2079;37;-44
2142;34;-44
2205;30;-44
2268;23;-40
2331;20;-35
2394;17;-30
2457;12;-21
2520;11;-16
2583;9;-13
2646;5;-6
2709;5;-6
2772;1;0
2835;-2;4
2898;-8;10
2961;-11;14
3024;-14;17
3087;-17;20
3150;-19;23
3213;-22;27
3276;-26;36
3339;-29;41
3402;-31;45
3465;-36;54
3528;-38;57
3591;-40;60
3654;-43;63
3717;-49;70
3780;-52;73
3843;-55;75
3906;-58;77
3969;-65;80
4032;-68;82
4095;-71;84
4158;-75;86
4221;-81;90
4284;-85;92
4347;-87;94
4410;-89;96
4473;-93;100
4536;-95;102
4599;-97;104
4662;-99;106
4725;-101;108
4788;-105;112
4851;-107;113
4914;-109;115
4977;-112;118
5040;-114;119
5103;-115;119
5166;-117;119
5229;-118;119
5292;-118;119
