time;x;y
63;127;-122
126;124;-122
189;121;-122
252;118;-122
315;112;-122
378;110;-119
441;108;-114
504;105;-110
567;103;-105
630;99;-95
693;99;-91
756;99;-88
819;99;-80
882;99;-80
945;98;-73
1008;94;-70
1071;91;-68
1134;85;-64
1197;81;-62
1260;78;-60
1323;71;-55
1386;68;-52
1449;64;-49
1512;61;-45
1575;58;-42
1638;56;-39
1701;53;-32
1764;51;-29
1827;48;-22
1890;45;-19
1953;42;-19
2016;39;-19
2079;36;-19
2142;33;-19
2205;27;-19
2268;25;-19
2331;19;-19
2394;16;-19
2457;13;-19
2520;11;-19
2583;7;-11
2646;5;-6
2709;3;-2
2772;0;7
2835;-3;11
2898;-10;21
2961;-13;25
3024;-16;30
3087;-22;37
3150;-25;37
3213;-28;37
3276;-34;37
3339;-37;37
3402;-40;38
3465;-43;39
3528;-46;41
3591;-49;43
3654;-56;46
3717;-59;48
3780;-61;52
3843;-66;61
3906;-68;66
3969;-70;70
4032;-75;77
4095;-77;79
4158;-79;81
4221;-84;86
4284;-86;88
4347;-92;88
4410;-95;88
4473;-97;88
4536;-103;88
4599;-105;89
4662;-107;91
4725;-111;94
4788;-112;96
4851;-114;98
4914;-117;103
4977;-121;109
5040;-124;114
5103;-126;117
5166;-126;121
5229;-126;125
5292;-126;127
5355;-126;128
